identifier,identifier 2,subject_name 1,subject_name 2,subject_name 3,subject_name 4,subject_name 5,subject_name 6,publisher,placeOfOrigin 1,placeOfOrigin 2,placeOfOrigin 3,placeOfOrigin 4,date_publication,subject_geographic 1,subject_topical 1,subject_topical 2,subject_topical 3,object_in_context_url,item_type,form,date_text,date_single_start,date_end,date_qualifier,public_note,rights,collection_title,collection_identifier,shelf_locator,record_source,repository,language,title,project_title,abstract,name,role
spc_4017,0012_000067_000361_0001,"Norris, Wellge & Co. | http://id.loc.gov/authorities/names/n80032816",,,,,,Donning Company,"253 West Bute Street, Norfolk, VA 23510",,,,1978,,Knoxville (Tenn.)--Maps | http://id.loc.gov/authorities/subjects/sh2008115713,,"Knoxville (Tenn.)--Buildings, structures, etc.",http://kiva.lib.utk.edu/spc/items/show/4017,still image,photographs | http://vocab.getty.edu/aat/300046300,1886,1886,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 4","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Map of Knoxville, Tennessee",Special Collections Online,"This map, which features illustrations of many prominent Knoxville structures, was printed in 1886 in Milwaukee, Wisconsin. It shows much of downtown Knoxville, including East Tennessee University, the Gay Street Bridge, the Knoxville & Augusta Railroad Bridge, and numerous churches, parks, and theaters. A larger version of this image is available at the University of Tennessee Special Collections Library.",Beck & Pauli | URI: http://id.loc.gov/authorities/names/n80066971 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3673,0012_000106_000444,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3673,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 5, Folder 24","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Cooley's Method of Indicator Testing,Special Collections Online,,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3543,0012_000106_000314,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3543,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 2, Folder 32","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Harris Brown,Special Collections Online,"Your Classmate,  Harris Brown,  Gallatin, Sumner Cy, Tenn. McAdam's box",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4494,0012_000463_000219_0001,,,,,,,,,,,,,,Mountains--Tennessee--Sevier County--History,Great Smoky Mountains (N.C. and Tenn.) | http://id.loc.gov/authorities/subjects/sh85057008,,http://kiva.lib.utk.edu/spc/items/show/4494,still image,photographs | http://vocab.getty.edu/aat/300046300,1930-01 - 1939-12,1930-01,1939-12,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Knoxville Gardens Slides,MS.1324,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Slide 6, Mt Le Conte, (New Number = 94)",Special Collections Online,Glass slide of Mt Le Conte,Jim Thompson Company | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4960,cw010216,,,,,,,,,,,,,,Men | http://id.loc.gov/authorities/subjects/sh85083510,,Artwork,http://kiva.lib.utk.edu/spc/items/show/4960,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 1, Folder 2","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Pencil Drawn Portrait Study of Man,Special Collections Online,"Portrait study, pencils","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4522,0012_000463_000249_0001,,,,,,,,,,,,,,"Plants, Ornamental | http://id.loc.gov/authorities/subjects/sh85103022",,Gardens--Tennessee--Knoxville--History--20th century--Photographs,http://kiva.lib.utk.edu/spc/items/show/4522,still image,photographs | http://vocab.getty.edu/aat/300046300,1930 - 1939,1930,1939,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Knoxville Gardens Slides,MS.1324,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Slide 36, Mrs. Brom Prossor, (New Number = 29)",Special Collections Online,Glass slide photo of driveway in gardens.,Jim Thompson Company | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3703,0012_000106_000474,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3703,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 6, Folder 20","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Capt. G.H. Stone,Special Collections Online,,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3788,0012_000107_000209_0001,"Brown, Clarence, 1890-1987 | http://id.loc.gov/authorities/names/n85151871",,,,,,,,,,,,,Silent films--United States--History and criticism | http://id.loc.gov/authorities/subjects/sh2008111666,,Motion picture producers and directors--United States | http://id.loc.gov/authorities/subjects/sh87006130,http://kiva.lib.utk.edu/spc/items/show/3788,still image,photographs | http://vocab.getty.edu/aat/300046300,1925,1925,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","Clarence Brown Collection, 1920-1970",MS.0702,"Box 6A, Folder HA(4)","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Rudolph Valentino, Clarence Brown, and Arabella Brown on the Set of ""The Eagle""",Special Collections Online,"Based on a Pushkin novel, ""The Eagle"" stars Rudolph Valentino as a Russian cossack named Vladimir Dubrouvsky. He is one of Catherine the Great's particular favorites, but he will not be kept as a lover and spurns her advances. When Kyrilla Troekouroff steals his lands, he creates a secret identity, ""The Black Eagle,"" and becomes a masked avenger. Although bent on revenge, he falls in love with Troekouroff's daughter, Mascha (Vilma Banky). Mascha, in turn, worships the Eagle but disdains his unmasked identity, her foppish French tutor Monsieur Le Blanc. Dubrouvsky's love for Masha eventually counteracts his desire for revenge against her father, and the couple flee Troekouroff's estate. Although captured by the Czarina's men, Catherine rescinds her orders to execute the Eagle and the pair escape to Paris.",,
spc_4411,0012_000128_000239_0001,Scopes Trial,"Scopes, John Thomas | http://id.loc.gov/authorities/names/n79041823","Bryan, William Jennings, 1860-1925 | http://id.loc.gov/authorities/names/n80044871","Robinson, Wallace Clarke, 1920-1995","Robinson, Frank Earle, 1881-1957","Robinson, Frank Earle, 1881-1957",,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/4411,still image,photographs | http://vocab.getty.edu/aat/300046300,1925,1925,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","W.C. Robinson Collection of Scopes Trial Photographs, circa 1925, circa 1976",MS.1091,"Box 1, Folder 1","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,F. E. Robinson Home,Special Collections Online,"Scopes Trial Photographs, circa 1925, A-10, The F. E. Robinson Home",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4732,0012_000296_000224,,,,,,,,,,,,,"Dickson County (Tenn.) | URI: http://id.loc.gov/authorities/names/n82227642 | Coordinates: 36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918","Education, Higher--Tennessee--History",College students | http://id.loc.gov/authorities/subjects/sh85028356,,http://kiva.lib.utk.edu/spc/items/show/4732,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1912,1965,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Ruskin Cave College Collection,MS.0335,"Box 1, Folder 1","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Earl Dunbar, [Prof.] Forman",Special Collections Online,"Two men playing tennis. Earl Dunar, [Prof.] Forman",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4765,0012_000296_000257,,,,,,,,,,,,,"Dickson County (Tenn.) | URI: http://id.loc.gov/authorities/names/n82227642 | Coordinates: 36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918","Education, Higher--Tennessee--History",College students | http://id.loc.gov/authorities/subjects/sh85028356,,http://kiva.lib.utk.edu/spc/items/show/4765,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1912,1965,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Ruskin Cave College Collection,MS.0335,"Box 1, Folder 1","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Virginia Essig, Verna Skelley",Special Collections Online,"Virginia Essig, Verna Skelley",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4179,0012_000067_000523_0001,S.H. Kress & Co. | http://id.loc.gov/authorities/names/n94062292,,,,,,,,,,,,,"Knoxville (Tenn.)--Buildings, structures, etc.",Knoxville (Tenn.)--Fairs,,http://kiva.lib.utk.edu/spc/items/show/4179,still image,photographs | http://vocab.getty.edu/aat/300046300,1910,1910,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 6","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Appalachian Exposition Main Building,Special Collections Online,"The 1910 Appalachian Exposition was held from September 12 to October 12 in Knoxville's Chilhowee Park. The first of its kind in Appalachia, the Fair was intended to demonstrate Southern progress in industry and commerce and to advocate the preservation of the area's natural resources. The fair did not, however, achieve its broader goal: to turn Knoxville into a model New South city.",,
spc_3945,0012_000067_000289_0001,,,,,,,,,,,,,,Knoxville (Tenn.)--History | http://id.loc.gov/authorities/subjects/sh00007640,,Knoxville (Tenn.)--History | http://id.loc.gov/authorities/subjects/sh00007640,http://kiva.lib.utk.edu/spc/items/show/3945,still image,photographs | http://vocab.getty.edu/aat/300046300,1902 - 1920,1902,1920,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 2","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,The Empire Office Building,Special Collections Online,"The Empire Building was constructed at the corner of Prince Street (now Market Street) and Church Street in 1901. Such diverse interests as labor unions, insurance agents, and lawyers rented space in this ""fireproof"" building.",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4501,0012_000463_000226_0001,,,,,,,,,,,,,,Mountain laurel | http://id.loc.gov/authorities/subjects/sh85087782,,Flowers--United States | http://id.loc.gov/authorities/subjects/sh2008120720,http://kiva.lib.utk.edu/spc/items/show/4501,still image,photographs | http://vocab.getty.edu/aat/300046300,1930 - 1939,1930,1939,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Knoxville Gardens Slides,MS.1324,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Slide 13, Laurel (Kalmia), (New Number = 85)",Special Collections Online,Glass slide of white Laurel flowers.,"University of Tennessee, Knoxville. Department of Botany | URI: http://id.loc.gov/authorities/names/n85000308 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4935,cw0118140,,,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/4935,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 1, Folder 18","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Pencil Drawn Town Scene,Special Collections Online,"Landscape, pencils","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4554,0012_000463_000284_0001,,,,,,,,,,,,,,"Plants, Ornamental | http://id.loc.gov/authorities/subjects/sh85103022",,Gardens--Tennessee--Knoxville--History--20th century--Photographs,http://kiva.lib.utk.edu/spc/items/show/4554,still image,photographs | http://vocab.getty.edu/aat/300046300,1930 - 1939,1930,1939,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Knoxville Gardens Slides,MS.1324,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Slide 71, Aug., (New Number = 67)",Special Collections Online,Close-up photo of fuchsia-colored flowers .,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3570,0012_000106_000341,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3570,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 3, Folder 19","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Torchbearers,Special Collections Online,Torchbearers-'47 U.T. Public Relations,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4712,0012_000296_000204,,,,,,,,,,,,,"Dickson County (Tenn.) | URI: http://id.loc.gov/authorities/names/n82227642 | Coordinates: 36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918","Education, Higher--Tennessee--History",College students | http://id.loc.gov/authorities/subjects/sh85028356,,http://kiva.lib.utk.edu/spc/items/show/4712,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1912,1965,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Ruskin Cave College Collection,MS.0335,"Box 1, Folder 1","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Zoe Cowen, Lee Rogers",Special Collections Online,"Zoe Cowen, Lee Rogers sitting outside together",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4648,0012_000177_000205_0001,"United States. Army. Infantry Regiment, 158th | http://id.loc.gov/authorities/names/n87943696",,,,,,,,,,,,,"World War, 1939-1945 | http://id.loc.gov/authorities/subjects/sh85148273",,,http://kiva.lib.utk.edu/spc/items/show/4648,still image,photographs | http://vocab.getty.edu/aat/300046300,1941-04,1941-04,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",World War II Collection,MS.2012,"Box 7, Folder 25","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Motor Section Training,Special Collections Online,"The original caption for this image reads ""Motor squad and gun. Camp Barkley, Texas April-1941. Co. K. 158th Inf. 45th Div."" The 158th Infantry Regiment began as the First Arizona Volunteer Infantry on September 2, 1865. It was drafted into Federal service during World War I as part of the 40th Division and reassigned to the 45th Division during postwar reorganizations. When a National Emergency was declared on September 16, 1940, the 158th joined the 45th for training at Fort Sill, Oklahoma and Fort Barkley, Texas. They were detached from the 45th in December of 1941 and sent to the Canal Zone for training in jungle warfare before being assigned to the Pacific Theater in early 1943. The unit was scheduled to spearhead the final invasion of Japan, which was subsequently rendered unnecessary by the atomic bomb. The 158th was deactivated and sent home in January of 1946.","Hawley, Thomas J., 1914-1999 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_3511,0012_000106_000283,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3511,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 1, Folder 8","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,President Brown Ayres and Faculty,Special Collections Online,President Brown Ayres and Faculty.   Page 2 (the back of the photo) shows the names of those pictured.,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3812,0012_000107_000233_0001,"Brown, Clarence, 1890-1987 | http://id.loc.gov/authorities/names/n85151871",,,,,,,,,,,,,Beverly Hills (Calif.)--History,Motion picture producers and directors--United States | http://id.loc.gov/authorities/subjects/sh87006130,,http://kiva.lib.utk.edu/spc/items/show/3812,still image,photographs | http://vocab.getty.edu/aat/300046300,1934,1934,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","Clarence Brown Collection, 1920-1970",MS.0702,"Box 10A, Folder B2","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Clark Gable and Clarence Brown,Special Collections Online,Clark Gable and Clarence Brown at a social event. The rattlesnake whose rattle Brown is holding was killed at Brown's Beverly Hills home on Benedict Canyon Drive.,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4959,cw010215,,,,,,,,,,,,,,Men | http://id.loc.gov/authorities/subjects/sh85083510,,Artwork,http://kiva.lib.utk.edu/spc/items/show/4959,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 1, Folder 2","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Pencil Drawn Portrait Study of Man,Special Collections Online,"Portrait study, pencils","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4565,0012_000463_000295_0001,,,,,,,,,,,,,,Wreaths--Tennessee--Knoxville--History--20th Century  Photographs,Floral decorations | http://id.loc.gov/authorities/subjects/sh97004981,,http://kiva.lib.utk.edu/spc/items/show/4565,still image,photographs | http://vocab.getty.edu/aat/300046300,1930 - 1939,1930,1939,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Knoxville Gardens Slides,MS.1324,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Slide 82, Mrs. W. C. Ross, Wreath, (New Number = 37)",Special Collections Online,Glass slide photo of wreath on door.,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4158,0012_000067_000502_0001,Richard & Southern,,,,,,,,,,,,,"Knoxville (Tenn.)--Buildings, structures, etc.",Tennessee River--Pictorial Works,,http://kiva.lib.utk.edu/spc/items/show/4158,still image,photographs | http://vocab.getty.edu/aat/300046300,1994,1994,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 6","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,The Tennessee River in Downtown Knoxville,Special Collections Online,"View of the Tennessee River where it passes through downtown Knoxville. This particular image also shows the Gay Street Bridge, the Baptist Hospital, and several of Knoxville's taller buildings.",,
spc_4649,0012_000177_000206_0001,"United States. Army. Infantry Regiment, 158th | http://id.loc.gov/authorities/names/n87943696",,,,,,,,,,,,,"World War, 1939-1945 | http://id.loc.gov/authorities/subjects/sh85148273",,,http://kiva.lib.utk.edu/spc/items/show/4649,still image,photographs | http://vocab.getty.edu/aat/300046300,1940 - 1941,1940,1941,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",World War II Collection,MS.2012,"Box 7, Folder 27","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"Fort Sill, Oklahoma",Special Collections Online,"View of construction at Fort Sill, Oklahoma. The 158th Infantry Regiment began as the First Arizona Volunteer Infantry on September 2, 1865. It was drafted into Federal service during World War I as part of the 40th Division and reassigned to the 45th Division during postwar reorganizations. When a National Emergency was declared on September 16, 1940, the 158th joined the 45th for training at Fort Sill, Oklahoma and Fort Barkley, Texas. They were detached from the 45th in December of 1941 and sent to the Canal Zone for training in jungle warfare before being assigned to the Pacific Theater in early 1943. The unit was scheduled to spearhead the final invasion of Japan, which was subsequently rendered unnecessary by the atomic bomb. The 158th was deactivated and sent home in January of 1946.","Hawley, Thomas J., 1914-1999 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_3549,0012_000106_000320,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3549,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 4, Folder 4","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Sigma Alpha Epsilon-1891,Special Collections Online,University of Tennessee 1891 Sigma Alpha Epsilon  5. James W Young 14. James Rodgers? 17. Alfred Sandford 18. Charles E. Chambliss,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4743,0012_000296_000235,,,,,,,,,,,,,"Dickson County (Tenn.) | URI: http://id.loc.gov/authorities/names/n82227642 | Coordinates: 36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918","Education, Higher--Tennessee--History",College students | http://id.loc.gov/authorities/subjects/sh85028356,,http://kiva.lib.utk.edu/spc/items/show/4743,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1912,1965,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Ruskin Cave College Collection,MS.0335,"Box 1, Folder 1","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,View of Houses on a Street,Special Collections Online,all these torn away I believe,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3668,0012_000106_000439,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3668,still image,photographs | http://vocab.getty.edu/aat/300046300,1948,1948,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 5, Folder 23","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Psychology - Professor Katzell,Special Collections Online,"RIGHT JOB FOR RIGHT MAN Getting the round peg in the round hole is a job for both John Tarvin (right) U-T Junior from Athens, and the psychology department. As part of the program to help students find the right occupation, Dr. Raymond Katzell, associate professor of psychology, measures Tarvin's manual skills.","Dudney, Wallace N. (Wallace Neal), 1923-2006 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4942,cw0118148,,,,,,,,,,,,,,Landscapes | http://id.loc.gov/authorities/subjects/sh85074392,,Artwork,http://kiva.lib.utk.edu/spc/items/show/4942,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 1, Folder 18","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Black and White Ink Drawn Pastoral Landscapes,Special Collections Online,"Landscape, inks","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_4700,0012_001391_000210_0001,Civilian Conservation Corps (U.S.). Tennessee,,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/4700,still image,photographs | http://vocab.getty.edu/aat/300046300,1935,1935,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",CCC Camp Chapman Photographs,MS.3071,"Box 1, Folder 1","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Group Portrait of Camp Chapman Personnel with Banner,Special Collections Online,"Camp David C. Chapman (CCC Company 1460) was established in Sevierville on June 2, 1933. Its members worked on projects (including building bridges and fire towers) in the Great Smoky Mountains National Park.",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3735,0012_000106_000506,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3735,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 8, Folder 31","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Old College,Special Collections Online,,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4655,0012_000594_000200_0001,,,,,,,,,,,,,,"World War, 1939-1945--Participation--United States","World War, 1939-1945--Medical care | http://id.loc.gov/authorities/subjects/sh85148441",,http://kiva.lib.utk.edu/spc/items/show/4655,still image,photographs | http://vocab.getty.edu/aat/300046300,1944,1944,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",World War II / American Conflict Collection,MS.2112,"Box 2, Daffario Photograph Album","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Officers of the 74th General Hospital,Special Collections Online,"Officers of the 74th General Hospital. This image was taken while the unit was stationed near Tyntesfield in England. The Colonel pictured is most likely Colonel Temperson, the unit's commanding officer.",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3677,0012_000106_000448,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3677,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1820,1990,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 5, Folder 28","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Woodworking and Carpentry,Special Collections Online,,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
